gauge  z            h_max      eta_max 
1.0 54.2341256047 24.9158743953 79.15 
2.0 58.4276281521 28.7723718479 87.2 
3.0 50.6134466119 4.2865533881 54.9 
4.0 48.2226341557 16.4773658443 64.7 
5.0 43.7687624781 7.3312375219 51.1 
6.0 41.4334727669 2.3165272331 43.75 
7.0 41.6128466846 2.7371533154 44.35 
8.0 29.8288818689 8.7711181311 38.6 
9.0 29.8611235588 2.0388764412 31.9 
10.0 29.4325368795 11.3174631205 40.75 
11.0 21.3247771776 2.8252228224 24.15 
12.0 25.8826077584 -0.9826077584 24.9 
13.0 21.8582617457 -4.6082617457 17.25 
14.0 21.519531444 -0.819531444 20.7 
15.0 17.2652580729 1.3347419271 18.6 
16.0 19.4686709719 -2.2186709719 17.25 
17.0 15.6099808876 -1.6099808876 14.0 
18.0 38.5065317983 -38.5065317983 0.0 
19.0 12.8151649524 -12.8151649524 0.0 
20.0 7.14280185942 -7.14280185942 0.0 
21.0 43.9985441525 40.2014558475 84.2 
22.0 34.1555987026 14.9444012974 49.1 
23.0 29.9699184206 24.0300815794 54.0 
24.0 28.8907123369 11.3092876631 40.2 
25.0 21.426914575 13.473085425 34.9 
26.0 18.4095115987 8.9904884013 27.4 
27.0 11.6955979792 9.8044020208 21.5 
28.0 5.22102918635 10.8789708137 16.1 
29.0 8.07073000517 4.82926999483 12.9 
