Malpasset Geometry 
Point Number X (m)     Y (m)      Z (m)
       1   5603.76   4474.49     37.47
       2   5610.50   4461.60     36.02
       3   5617.25   4448.71     35.13
       4   5623.99   4435.82     35.07
       5   5630.74   4422.92     35.07
       6   5761.58   4402.79     35.37
       7   5758.78   4391.27     34.21
       8   5755.98   4379.76     33.88
       9   5753.19   4368.24     34.66
      10   5750.39   4356.73     30.32
      11   5638.20   4495.67     39.64
      12   5629.59   4490.38     38.84
      13   5620.98   4485.08     38.36
      14   5612.37   4479.79     37.95
      15   5652.10   4492.77     39.56
      16   5641.52   4484.60     38.45
      17   5631.07   4476.69     36.60
      18   5620.73   4469.02     35.98
      19   5666.00   4489.87     39.43
      20   5653.46   4478.83     37.92
      21   5641.15   4468.29     35.81
      22   5629.08   4458.25     35.00
      23   5679.89   4486.97     39.20
      24   5665.39   4473.06     37.36
      25   5651.24   4459.90     35.29
      26   5637.44   4447.49     34.91
      27   5693.41   4472.93     37.64
      28   5678.77   4460.82     35.91
      29   5663.45   4448.45     34.76
      30   5647.44   4435.82     34.83
      31   5706.93   4458.89     36.18
      32   5694.40   4447.27     34.73
      33   5681.25   4435.41     34.53
      34   5667.47   4423.31     34.66
      35   5653.07   4410.98     34.78
      36   5720.45   4444.85     35.47
      37   5710.05   4433.75     34.44
      38   5699.07   4422.41     34.34
      39   5687.52   4410.84     34.46
      40   5675.40   4399.03     34.55
      41   5733.96   4430.81     34.66
      42   5726.15   4419.88     34.21
      43   5717.93   4408.78     34.15
      44   5709.31   4397.52     34.22
      45   5700.29   4386.10     34.39
      46   5743.17   4421.47     35.14
      47   5738.56   4409.35     34.05
      48   5734.02   4397.26     34.04
      49   5729.56   4385.20     34.06
      50   5725.17   4373.16     34.53
      51   5752.38   4412.13     35.67
      52   5748.68   4400.32     34.36
      53   5745.02   4388.53     34.25
      54   5741.38   4376.73     34.83
      55   5737.78   4364.94     35.74
      56   5785.74   4399.10     34.73
      57   5781.57   4387.93     33.84
      58   5777.39   4376.75     33.82
      59   5773.20   4365.56     33.67
      60   5769.00   4354.35     31.51
      61   5809.89   4395.41     34.94
      62   5804.36   4384.60     33.69
      63   5798.80   4373.75     33.33
      64   5793.22   4362.88     31.78
      65   5787.62   4351.97     30.01
      66   5834.05   4391.72     35.07
      67   5827.14   4381.26     33.69
